0.0289268	0	0	0	0.1649705	0.0629752	0.0002440	0.2267403	0.0000050
0.0249300	0	1	0	0.1627368	0.0587422	0.0002530	0.2279437	0.0000050
0.0214917	0	2	0	0.1611122	0.0508903	0.0002571	0.2287449	0.0000054
0.0188233	0	3	0	0.1601215	0.0401676	0.0002565	0.2289829	0.0000061
0.0169524	0	4	0	0.1596672	0.0274422	0.0002528	0.2287006	0.0000067
0.0157674	0	5	0	0.1596041	0.0161668	0.0002480	0.2280798	0.0000067
0.0151140	0	6	0	0.1597992	0.0163440	0.0002434	0.2273242	0.0000058
0.0149008	0	7	0	0.1601572	0.0247238	0.0002393	0.2265653	0.0000039
0.0150876	0	8	0	0.1606058	0.0305407	0.0002353	0.2258342	0.0000014
0.0155583	0	9	0	0.1610656	0.0310983	0.0002310	0.2250945	-0.0000011
