time	alg	k	fold	iter	inertia	DB
271.878174	full	13	5	50	34698.894705	0.936674
301.966235	full	13	6	32	34688.261858	0.934055
269.263257	full	13	7	26	34697.842254	0.936258
265.006615	full	13	8	20	34718.051799	0.937194
258.419690	full	13	9	99	34677.849509	0.933249
320.274682	full	14	0	95	32825.732091	0.935047
377.287442	full	14	1	33	32819.781247	0.934981
294.319379	full	14	2	84	32817.137077	0.935133
380.942300	full	14	3	83	32819.173772	0.934827
308.698217	full	14	4	35	32811.660694	0.935044
346.903393	full	14	5	125	32823.208804	0.934865
343.231401	full	14	6	112	32818.025888	0.934697
341.152959	full	14	7	30	32824.676798	0.935153
351.464864	full	14	8	95	32842.448610	0.935082
316.344691	full	14	9	41	32802.567784	0.935725
305.497983	full	15	0	42	31129.733517	0.915758
337.592153	full	15	1	51	31147.440891	0.914667
371.194624	full	15	2	80	31123.347544	0.914182
320.112872	full	15	3	68	31123.629389	0.915406
289.344732	full	15	4	49	31115.100539	0.917333
342.703899	full	15	5	75	31127.643286	0.916824
306.060601	full	15	6	55	31122.872675	0.914348
317.233055	full	15	7	63	31129.306133	0.917279
306.988356	full	15	8	30	31146.062171	0.916619
278.685710	full	15	9	41	31108.300349	0.915242
323.909533	full	16	0	63	29671.352403	0.930005
355.137347	full	16	1	130	29668.512889	0.929607
445.408660	full	16	2	82	29666.023407	0.919063
493.937855	full	16	3	74	29663.376285	0.926065
448.432061	full	16	4	54	29657.258284	0.928345
337.371518	full	16	5	80	29671.658269	0.918681
416.992734	full	16	6	42	29664.774331	0.917705
323.264164	full	16	7	51	29673.993299	0.928103
331.961262	full	16	8	36	29690.216699	0.927880
367.766278	full	16	9	103	29653.564002	0.928452
370.692040	full	17	0	125	28505.591892	0.922231
352.324362	full	17	1	76	28503.410906	0.923641
432.962148	full	17	2	134	28503.935686	0.924380
425.545969	full	17	3	47	28498.780379	0.925092
532.702776	full	17	4	58	28496.320891	0.927475
446.867410	full	17	5	76	28509.680616	0.927465
441.832698	full	17	6	36	28499.392067	0.925960
378.549744	full	17	7	32	28509.241619	0.924388
350.545420	full	17	8	52	28526.499820	0.924562
492.946535	full	17	9	115	28487.535962	0.924763
19.751917	elkan	2	0	8	133870.066510	0.886993
20.534230	elkan	2	1	8	133873.358780	0.887469
20.596538	elkan	2	2	12	133889.057609	0.887018
19.950948	elkan	2	3	4	133890.182230	0.887152
20.147692	elkan	2	4	9	133866.762272	0.887502
19.549092	elkan	2	5	5	133902.771050	0.887268
19.315119	elkan	2	6	5	133879.243629	0.887113
20.975201	elkan	2	7	8	133894.230568	0.887034
20.088090	elkan	2	8	6	133935.739182	0.887131
21.192181	elkan	2	9	6	133811.986698	0.887116
42.368379	elkan	3	0	11	103200.690869	1.024409
56.617863	elkan	3	1	9	103195.314845	1.025200
59.981089	elkan	3	2	20	103210.271696	1.026151
56.204658	elkan	3	3	14	103187.160403	1.025740
47.330906	elkan	3	4	12	103183.587194	1.023564
54.818222	elkan	3	5	9	103221.329191	1.024580
44.865723	elkan	3	6	18	103204.652124	1.023470
53.436157	elkan	3	7	6	103212.257235	1.024927
57.580900	elkan	3	8	15	103237.081987	1.023318
44.083876	elkan	3	9	8	103149.037323	1.025711
52.227598	elkan	4	0	20	81739.155948	0.972195
54.379106	elkan	4	1	24	81740.290349	0.972030
59.809005	elkan	4	2	28	81743.867781	0.971958
53.963833	elkan	4	3	14	81737.913404	0.971809
57.429138	elkan	4	4	33	81727.540669	0.971966
57.321148	elkan	4	5	24	81759.862075	0.972094
63.204342	elkan	4	6	18	81744.716360	0.971451
56.255390	elkan	4	7	38	81753.669329	0.971996
59.008672	elkan	4	8	23	81785.147980	0.972071
57.319364	elkan	4	9	22	81711.778543	0.971799
123.800202	elkan	5	0	30	70895.716942	0.978669
118.614371	elkan	5	1	20	70893.371952	0.976511
117.525929	elkan	5	2	22	70896.265961	0.976411
121.112828	elkan	5	3	26	70887.034163	0.978405
105.218704	elkan	5	4	61	70875.863450	0.978699
124.581497	elkan	5	5	40	70912.826548	0.978524
136.651209	elkan	5	6	41	70907.814468	0.978373
113.245193	elkan	5	7	24	70907.973204	0.978363
135.360943	elkan	5	8	35	70935.555805	0.978226
127.926929	elkan	5	9	29	70866.919427	0.979009
129.945209	elkan	6	0	19	61992.898715	0.942695
131.464185	elkan	6	1	38	61987.264829	0.942758
182.872457	elkan	6	2	50	61989.896090	0.942830
166.982498	elkan	6	3	53	61985.769587	0.942642
117.860744	elkan	6	4	32	61974.923592	0.942556
148.870590	elkan	6	5	41	62007.137880	0.942499
187.622094	elkan	6	6	46	62002.431505	0.942547
203.398828	elkan	6	7	63	62007.164188	0.942824
139.652137	elkan	6	8	50	62028.474936	0.942678
167.228141	elkan	6	9	42	61953.648466	0.942780
143.505386	elkan	7	0	34	55302.063302	0.956161
172.974619	elkan	7	1	108	55295.124937	0.958798
133.861836	elkan	7	2	33	55290.755197	0.957073
156.877265	elkan	7	3	54	55289.097047	0.958753
163.201276	elkan	7	4	38	55273.845135	0.956218
185.265373	elkan	7	5	49	55313.648214	0.955026
162.608294	elkan	7	6	39	55309.667115	0.958307
171.044994	elkan	7	7	20	55304.029717	0.955326
170.224130	elkan	7	8	30	55330.792367	0.957512
172.073094	elkan	7	9	49	55263.108098	0.955301
183.786804	elkan	8	0	27	50001.786812	0.977176
197.645481	elkan	8	1	21	50002.147465	0.977646
171.092779	elkan	8	2	59	49990.613261	0.977783
211.037454	elkan	8	3	44	49996.433932	0.978001
168.862308	elkan	8	4	97	49981.700602	0.978023
175.359530	elkan	8	5	50	50015.457635	0.978255
179.558747	elkan	8	6	55	50010.824496	0.977987
155.331408	elkan	8	7	26	50007.010360	0.977503
172.529517	elkan	8	8	69	50031.911136	0.977985
181.138077	elkan	8	9	37	49967.642629	0.978320
225.264422	elkan	9	0	37	45926.330440	0.957215
224.367521	elkan	9	1	54	45918.723195	0.957040
257.090265	elkan	9	2	56	45909.726332	0.957508
212.652977	elkan	9	3	49	45912.928489	0.957461
257.366192	elkan	9	4	95	45901.840420	0.956884
213.581528	elkan	9	5	56	45933.331462	0.956657
281.413829	elkan	9	6	40	45926.631108	0.957090
212.671884	elkan	9	7	35	45924.454843	0.957172
284.954708	elkan	9	8	31	45949.582712	0.956775
224.066970	elkan	9	9	39	45888.958826	0.957580
290.374276	elkan	10	0	45	42797.183324	0.914992
296.082314	elkan	10	1	51	42787.948012	0.914337
262.187378	elkan	10	2	28	42521.605972	0.939920
271.143907	elkan	10	3	25	42529.501506	0.939724
293.757325	elkan	10	4	45	42515.708192	0.939696
343.389535	elkan	10	5	64	42531.894182	0.940100
289.113503	elkan	10	6	50	42529.594372	0.939425
288.623711	elkan	10	7	49	42528.946839	0.939920
211.226930	elkan	10	8	31	42552.122078	0.939956
303.170428	elkan	10	9	48	42508.344258	0.940647
344.293342	elkan	11	0	89	39347.747452	0.920928
297.664868	elkan	11	1	37	39338.884081	0.921045
250.227358	elkan	11	2	53	39334.283361	0.920602
302.933156	elkan	11	3	40	39341.142485	0.920849
299.703848	elkan	11	4	57	39330.966318	0.920325
374.502010	elkan	11	5	70	39348.784509	0.920350
325.952180	elkan	11	6	46	39340.242680	0.920198
353.402586	elkan	11	7	46	39340.544749	0.920449
255.979372	elkan	11	8	60	39366.051590	0.920937
368.296964	elkan	11	9	68	39324.621108	0.920417
370.215544	elkan	12	0	180	36563.956945	0.924732
325.202484	elkan	12	1	47	36557.327876	0.925092
327.906236	elkan	12	2	67	36555.138529	0.924629
333.402990	elkan	12	3	41	36557.634925	0.924496
317.285400	elkan	12	4	50	36549.882249	0.925316
359.077483	elkan	12	5	60	36566.610173	0.924465
383.028383	elkan	12	6	100	36556.079746	0.924498
347.936190	elkan	12	7	72	36563.401950	0.924479
309.401172	elkan	12	8	84	36586.385973	0.924743
337.822260	elkan	12	9	48	36544.090543	0.925304
347.253128	elkan	13	0	109	34696.098816	0.933038
375.172797	elkan	13	1	65	34690.826381	0.933144
375.516161	elkan	13	2	58	34686.519097	0.932962
336.329620	elkan	13	3	156	34689.356106	0.933252
334.605604	elkan	13	4	86	34682.707931	0.936553
366.291308	elkan	13	5	61	34696.671642	0.936601
404.883927	elkan	13	6	42	34686.583383	0.933196
355.308582	elkan	13	7	35	34696.101327	0.936761
319.626605	elkan	13	8	27	34716.630632	0.936976
358.310033	elkan	13	9	78	34674.402860	0.933245
406.275908	elkan	14	0	139	32823.406248	0.935595
445.288542	elkan	14	1	43	32818.202445	0.935223
409.813068	elkan	14	2	41	32815.467368	0.935310
534.281913	elkan	14	3	122	32817.078972	0.935128
430.263470	elkan	14	4	47	32809.518332	0.935323
455.554048	elkan	14	5	137	32821.191641	0.935189
520.321926	elkan	14	6	190	32815.422321	0.935199
525.762835	elkan	14	7	188	32822.586073	0.935381
499.535224	elkan	14	8	110	32840.007540	0.935323
421.260484	elkan	14	9	49	32801.396481	0.935475
