J	x	y	V	EV	EVB	CM	Jep	label
0.028926799999999996	0	0	0.1649705	0.0629752	0.000244	0.22674029999999998	5e-06	3
0.02493	0	1	0.1627368	0.0587422	0.00025299999999999997	0.2279437	5e-06	3
0.0214917	0	2	0.1611122	0.0508903	0.0002571	0.2287449	5.400000000000001e-06	3
0.0188233	0	3	0.1601215	0.0401676	0.0002565	0.22898289999999996	6.1e-06	3
0.0169524	0	4	0.1596672	0.027442200000000003	0.0002528	0.22870059999999998	6.7e-06	3
0.0157674	0	5	0.15960410000000003	0.016166800000000002	0.000248	0.22807979999999997	6.7e-06	3
0.015113999999999999	0	6	0.15979920000000003	0.016344	0.0002434	0.22732420000000003	5.7999999999999995e-06	3
0.014900799999999999	0	7	0.1601572	0.0247238	0.00023930000000000002	0.22656529999999997	3.9e-06	3
0.0150876	0	8	0.1606058	0.030540699999999997	0.00023530000000000003	0.2258342	1.4e-06	3
